location_id,business_date,bill_number,dupe_count,kept_id,all_ids
2341,2026-03-31,25186,2,49314804,49314804|49314908
2222,2026-03-31,56112,2,49259915,49259915|49265930
2216,2026-03-31,44021,2,49282089,49282089|49284325
2812,2026-03-31,16225,2,49268267,49268267|49268840
2220,2026-03-31,45929,2,49248889,49248889|49249082
2557,2026-03-31,19026,2,49269433,49269433|49269563
2338,2026-03-31,54950,2,49273533,49273533|49273804
2932,2026-03-31,3702,2,49269485,49269485|49269486
2425,2026-03-30,17987,2,49213888,49213888|49213889
2526,2026-03-30,12832,2,49182098,49182098|49222912
2526,2026-03-30,12810,2,49212853,49212853|49218054
2338,2026-03-30,54745,2,49189306,49189306|49189307
2932,2026-03-30,3587,2,49179181,49179181|49179182
2217,2026-03-30,25456,2,49166452,49166452|49168081
2526,2026-03-30,12721,2,49170005,49170005|49185080
2481,2026-03-30,39164,2,49180440,49180440|49194501
2184,2026-03-30,54695,2,49178278,49178278|49178416
2425,2026-03-30,17932,2,49184410,49184410|49191583
2177,2026-03-30,36871,2,49185432,49185432|49185802
2287,2026-03-30,63078,2,49171340,49171340|49205947
2222,2026-03-30,56034,2,49211096,49211096|49219348
2250,2026-03-30,73001,2,49164991,49164991|49171795
2338,2026-03-30,54811,2,49203632,49203632|49203634
2342,2026-03-30,28842,2,49184327,49184327|49185862
2184,2026-03-30,54744,2,49198887,49198887|49205273
2184,2026-03-30,54739,2,49196915,49196915|49205153
2339,2026-03-30,28136,2,49173456,49173456|49182065
2219,2026-03-29,60371,2,49121316,49121316|49121485
2548,2026-03-29,27311,2,49122254,49122254|49122255
2766,2026-03-29,6830,2,49093766,49093766|49093876
2250,2026-03-29,72948,2,49124219,49124219|49124220
2547,2026-03-29,28783,2,49079396,49079396|49079397
2184,2026-03-29,54607,2,49113088,49113088|49120074
2250,2026-03-29,72949,2,49124221,49124221|49124222
2646,2026-03-29,12414,2,49075337,49075337|49075567
2430,2026-03-29,16923,2,49091503,49091503|49091847
2338,2026-03-29,54583,2,49117803,49117803|49117804
